date,price_usd,volume_24h_usd,market_cap_usd
2023-09-07,1632.2628678801352,4987135527.4,196228249258.73447
2023-09-08,1647.807629135905,4907960209.41,198097296858.03964
2023-09-09,1636.0504578411933,4598456163.11,196684256425.48474
2023-09-10,1635.2116861658033,2081812099.8,196584322818.26114
2023-09-11,1616.7697233825777,4339499948.52,194368981373.8631
2023-09-12,1551.4978004559755,7693839845.82,186523842565.70044
2023-09-13,1592.8923772768958,6813796811.91,191500276121.30075
2023-09-14,1608.0316286120737,4979267567.69,193321257728.82764
2023-09-15,1626.8701281931124,5539428513.37,195586522411.82437
2023-09-16,1641.446456621122,4348851399.47,197339346564.9392
2023-09-17,1635.2010962896495,2819067588.38,196589322503.6253
2023-09-18,1623.081927351214,3032589831.62,195134061773.75385
2023-09-19,1637.312046606189,5916465591.56,196846543537.55948
2023-09-20,1643.4953076154648,4405790043.32,197591219202.33588
2023-09-21,1622.5917763097175,5156587216.21,195079520007.93564
2023-09-22,1584.0025776693099,5191824386.47,190441136823.17676
2023-09-23,1593.2131080415245,3460624796.09,191548977482.4184
2023-09-24,1593.8256989418717,2101361409.32,191623905873.7266
2023-09-25,1580.7474721019069,3087132092.53,190053274324.73306
2023-09-26,1588.0231683036277,4394744438.85,190929960054.96878
2023-09-27,1593.1082549059065,3545351593.92,191543175354.9872
2023-09-28,1597.672007742071,5532608277.05,192094284551.226
2023-09-29,1652.999878358187,6658015202.98,198748336251.9343
2023-09-30,1667.8344906796017,5529568321.6,200533799707.6836
2023-10-01,1671.1615283017331,3155793980.67,200935947754.0943
2023-10-02,1732.9840045171504,5056094022.03,208371635183.16907
2023-10-03,1662.8872060740582,8420779815.52,199945736601.637
2023-10-04,1656.7359982358535,4741956477.02,199207144983.65503
2023-10-05,1647.7881975431635,5127696585.96,198133095843.05438
2023-10-06,1611.3657129111061,5404104945.81,193755550319.38455
2023-10-07,1645.8108747739714,4940933143.9,197899605995.6198
2023-10-08,1634.6573505209176,2579075566.47,196560758534.532
2023-10-09,1633.454852408058,3315720071.08,196418896308.1298
2023-10-10,1580.1121201498274,7020914570.96,190007223651.69623
2023-10-11,1567.6807600904178,5254751669.4,188514473578.26038
2023-10-12,1566.356014551721,5417179361.53,188357558683.022
2023-10-13,1539.4328316209953,5004059406.74,185122297549.24402
2023-10-14,1552.2638093630358,4575226431.09,186667378685.78647
2023-10-15,1555.0760982860947,2429273973.07,187007807773.30377
2023-10-16,1558.3135082146018,2923535287.39,187399877022.35196
2023-10-17,1600.6355946204023,8848786510.83,192492052424.49417
2023-10-18,1565.3828374162874,5032755761.58,188254374466.2458
2023-10-19,1563.9580727913944,4353949975.86,188085138713.1678
2023-10-20,1567.5709513086022,5035285102.2,188521701374.33893
2023-10-21,1604.822220541789,6747919932.49,193003899964.07562
2023-10-22,1629.297773117528,4212626063.65,195948847306.6615
2023-10-23,1664.3236075516897,5248139797.51,200163538909.25464
2023-10-24,1766.014606053843,14364905218.58,212394621009.2999
2023-10-25,1784.905031551164,15885312243.95,214662521828.19614
2023-10-26,1787.481937488844,9439207024.6,214967293090.3854
2023-10-27,1803.7948939018595,11197757998.87,216924389002.32498
2023-10-28,1780.0842204937258,7492988402.32,214086508263.07675
2023-10-29,1776.5639103688845,4226614106.35,213663634184.2632
2023-10-30,1795.5891119003768,4358022479.64,215953185531.89188
2023-10-31,1810.1316121833013,7534346076.75,217703782625.718
2023-11-01,1815.87207438793,6477998435.77,218394057338.58316
2023-11-02,1847.259923360466,10629694866.53,222168663793.37604
2023-11-03,1800.9165399218302,9004345096.63,216594057451.57574
2023-11-04,1833.3688436690315,7622158507.52,220496185396.64633
2023-11-05,1857.3955776684516,4845287262.01,223385918567.2427
2023-11-06,1894.027082264985,8867046743.91,227792579228.8835
2023-11-07,1900.5997464252632,8103605335.34,228583531121.5559
2023-11-08,1887.1190111006958,9202919785.89,226960679811.33755
2023-11-09,1888.9402526025394,6750906389.05,227178539021.2201
2023-11-10,2121.0673788595714,24719011969.22,255093554729.88074
2023-11-11,2078.0583065233627,14736604878.83,249914697373.42245
2023-11-12,2053.118697628967,10228189074,246911725799.46518
2023-11-13,2045.3544851535285,7949248166.36,245976279914.19086
2023-11-14,2054.7652690642967,14326384131.71,247106649550.80963
2023-11-15,1979.4726460179697,13087236767.76,238046848902.36615
2023-11-16,2059.965774392229,12623052847,247723327223.1319
2023-11-17,1961.867512850409,14653502852.91,235923781350.10202
2023-11-18,1961.6712561738975,11880777554.77,235897631469.41632
2023-11-19,1963.1800181682554,8064348102.15,236077730418.46545
2023-11-20,2011.8533375977124,7718051674.94,241930762755.14902
2023-11-21,2022.217320146458,12864970205.2,243177324136.70392
2023-11-22,1933.583176004373,13656162596.03,232515311290.47095
2023-11-23,2063.9055161297742,13364413883.67,248182604665.9441
2023-11-24,2062.4117438331364,7828198999.43,247999114461.43964
2023-11-25,2081.296167144593,12140528462.49,250267445714.02634
2023-11-26,2084.177378684101,5362742362.69,250612513936.56274
2023-11-27,2062.3908459465106,8054823787.51,247992560501.70956
2023-11-28,2027.517224134468,10575359383.23,243798641041.75052
2023-11-29,2049.1868378822173,9909901418.08,246402050596.24377
2023-11-30,2029.3583403632695,8944763531.36,244011435474.31107
2023-12-01,2052.0966666637914,8108753615.18,246744586653.108
2023-12-02,2087.6635101851293,10865427682.91,251016143470.62952
2023-12-03,2165.8956871998384,9131300842.7,260417483993.7984
2023-12-04,2193.6634300587602,8281311679.31,263753466889.51447
2023-12-05,2243.0925366917227,16150353748.69,269693808241.69635
2023-12-06,2293.628161346545,15385206461.98,275763592248.03265
2023-12-07,2233.217654587018,12787701358.66,268492273580.0486
2023-12-08,2357.1692961300073,14769566487.02,283385760204.9202
2023-12-09,2358.6860098396214,12542355763.41,283561317416.5923
2023-12-10,2341.4401694090598,10614212967.22,281482967763.9848
2023-12-11,2352.496677945182,7369483481.26,282809017359.3301
2023-12-12,2224.39099299393,17988704014.33,267406546393.57254
2023-12-13,2202.600348159951,11390424007.52,264783417438.34937
2023-12-14,2260.735988135696,12574225962.36,271767056166.27798
2023-12-15,2316.110422608981,12610196658.74,278417410343.1755
2023-12-16,2220.4155723383515,10258776523.86,266908641487.1884
2023-12-17,2226.89247813122,6865966710.46,267678775505.23508
2023-12-18,2195.3417231000553,7412106831.57,263879421629.25592
2023-12-19,2218.2410067891947,10365203078.25,266627885799.10043
2023-12-20,2177.2395157566452,10619011980.31,261690878739.40408
2023-12-21,2201.7900766246407,12655478726.58,264634194631.37234
2023-12-22,2239.598252118122,12615537259.36,269170469306.69095
2023-12-23,2326.7158695528697,16136781559.66,279636308065.65955
2023-12-24,2309.6266415076243,7996953023.08,277579548725.6057
2023-12-25,2265.3405804105087,9451435641.38,272257190656.38504
2023-12-26,2272.2188227915876,8035326714.73,273084177399.97122
2023-12-27,2231.393140589442,10670866989.7,268177527480.87137
2023-12-28,2380.2005893439127,14163881400.94,286062856534.564
2023-12-29,2346.8437593906565,15661637891.83,282052450506.7645
2023-12-30,2300.399766646183,12536700253.23,276468672787.5058
