date,year,redemption_pct,min_steth_price,min_discount,min_discount_pct,steth_requested,steth_outstanding
2025-05-20,2025,0.0015448053882843446,2450.3221273368704,-0.0030678140180548,-0.30678140180548,13945.067318751244,9027070.61
2025-05-21,2025,0.002810876667003196,2461.93051018067,-0.0055068735859369,-0.55068735859369,25371.796298907982,9026292.97
2025-05-22,2025,0.0014243913621486302,2551.1383300175494,-0.0046402969669243,-0.46402969669243,13254.231119638722,9305189.2
2025-05-23,2025,0.000754585427581875,2527.339257717868,-0.0025828614445019,-0.25828614445019,6795.129616664409,9005116.41
2025-05-24,2025,0.00033127407034513515,2517.936005194216,-0.003400244904783,-0.3400244904783,2981.488563449673,9000066.2
2025-05-25,2025,0.00013596339754554462,2475.3146136304367,-0.0032621221796973,-0.32621221796973,1223.3753986545623,8997828.98
2025-05-26,2025,0.000700292946601711,2532.9053581868243,-0.0050842758550071,-0.50842758550071,6301.043682099566,8997725.47
2025-05-27,2025,0.00028966995311228326,2527.8108027042003,-0.0024326886558966,-0.24326886558966002,2606.29278510461,8997456.439999998
2025-05-28,2025,0.0005817953187039273,2619.6524009285827,-0.0031845229785223,-0.31845229785223,5234.212891677198,8996656.939999998
2025-05-29,2025,0.002614207130737521,2636.4051461960507,-0.0033814881240215,-0.33814881240215,23478.42444823361,8981088.06
2025-05-30,2025,0.0010243922378612904,2536.9153851886485,-0.0020997048045661,-0.20997048045661,9200.010551537614,8980945.2
2025-05-31,2025,0.0004733762191925254,2489.830320567816,-0.0019103080526854,-0.19103080526854,4248.563548405023,8975025.309999999
2025-06-01,2025,0.0007726736765076332,2482.4213878372966,-0.001947860068765,-0.1947860068765,6928.480017674265,8966890.199999997
2025-06-02,2025,0.00015946899834953608,2480.758937099272,-0.0023927322549309,-0.23927322549309,1431.4357875390604,8976263.739999998
2025-06-03,2025,0.0012645271367729112,2590.8348087980426,-0.0036863199009042,-0.36863199009042,11344.583952051027,8971404.11
2025-06-04,2025,0.0006207757637965687,2589.305281186179,-0.0051674522010223,-0.51674522010223,5565.386991128231,8965213.07
2025-06-05,2025,0.0005879736938619664,2406.957240578161,-0.001976555055896,-0.19765550558960002,5274.887647137531,8971298.72
2025-06-06,2025,0.0019145720950725803,2418.302677475496,-0.0027051484093527,-0.27051484093527,17171.750443438294,8968975.62
2025-06-07,2025,0.000652645438809276,2470.528867587375,-0.0036426570958018,-0.36426570958018,5854.228861682769,8969998.89
2025-06-08,2025,0.0003168703245247584,2498.6867078304085,-0.0032632544146955,-0.32632544146955,2842.263554164196,8969800.369999995
2025-06-09,2025,0.0005115611195253574,2482.6742626246883,-0.0039505700669667,-0.39505700669667,4596.502492739516,8985245.979999999
2025-06-10,2025,0.00037613901209686675,2671.65374772741,-0.0021671089028816,-0.21671089028815999,3393.619656489389,9022248.55
2025-06-11,2025,0.0041816895048022145,2755.1236683255693,-0.0025306889523671,-0.25306889523671,37847.97897949049,9050882.169999998
2025-06-12,2025,0.00043852026122217255,2631.612241172115,-0.003501868266428,-0.3501868266428,3973.532486147913,9061228.950000001
2025-06-13,2025,0.0006295685520174575,2469.309094140764,-0.0050990571871464,-0.50990571871464,5714.6167259146105,9077036.5
2025-06-14,2025,0.0006327910746906705,2498.9090224345923,-0.0058928382243482,-0.58928382243482,5751.321093777527,9088815.13
2025-06-15,2025,0.00020591655233945472,2504.6605151482604,-0.0020547465956693,-0.20547465956693,1871.6006042577235,9089121.7
2025-06-16,2025,0.00037034897830346336,2536.943076726399,-0.0072064400053531,-0.72064400053531,3369.964085155314,9099428.6
2025-06-17,2025,0.00045443923639959055,2468.642377459181,-0.0068417835703765,-0.6841783570376501,4143.057424378845,9116856.76
2025-06-18,2025,0.000513552728625225,2493.664596451995,-0.0013636835252665,-0.13636835252665,4681.769694691011,9116434.27
2025-06-19,2025,0.00048633883941637436,2528.615106853094,-0.0028999187720394,-0.28999187720394,4438.452571311353,9126255.63
2025-06-20,2025,0.0006263573349406849,2391.6542384718578,-0.0076307863874484,-0.76307863874484,5735.081247581838,9156245.05
2025-06-21,2025,0.009944514135404368,2284.910803457714,-0.0044062742465713,-0.44062742465713,91059.01144365426,9156707.93
2025-06-22,2025,0.00038528480155922276,2168.5310013680537,-0.0085674491773402,-0.85674491773402,3527.182030112358,9154739.6
2025-06-23,2025,0.0005905212281894519,2216.4067501162053,-0.0066999324541873,-0.6699932454187301,5409.189213246084,9160025.0
2025-06-24,2025,0.00010126578092629058,2393.675400712077,-0.0057553630660657,-0.57553630660657,926.7513921143576,9151673.78
2025-06-25,2025,0.0016188566638850393,2407.585002208059,-0.0026085887832122,-0.26085887832122,14811.95673840594,9149640.649999999
2025-06-26,2025,0.0009080296519569871,2417.2129950381727,-0.0046938761138429,-0.46938761138428997,8280.126370754499,9118784.119999997
2025-06-27,2025,0.0004748052506290125,2394.566253884871,-0.0035068205615181,-0.35068205615181003,4323.835471302378,9106545.19
2025-06-28,2025,0.00039001013659497664,2415.730918871939,-0.0033635170363803,-0.33635170363803,3551.34956708348,9105787.86
2025-06-29,2025,0.0007868088495977845,2427.744135163736,-0.0125942645119748,-1.25942645119748,7157.480785229003,9096848.349999998
